execution_num;num_execs;size_msg;incremental;time
0;100;100;False;21.97730842200007828
0;100;100;True;22.460589456999969116
0;100;100100;False;71.850375028000144084
0;100;100100;True;45.01728080099996987
0;100;200100;False;23.283191669999951046
0;100;200100;True;69.84793610199994873
0;100;300100;False;23.244921162000078851
0;100;300100;True;51.4426479730000068
0;100;400100;False;23.105613835999967876
0;100;400100;True;37.302767661999951088
0;100;500100;False;23.174009720999947604
0;100;500100;True;31.082320080999576106
0;100;600100;False;23.159311342999888694
0;100;600100;True;36.524047255999903427
0;100;700100;False;23.1472409080001853
0;100;700100;True;25.761068810999848466
0;100;800100;False;23.164645082999868464
0;100;800100;True;27.961539947999881406
0;100;900100;False;23.169952209999792103
0;100;900100;True;30.4421312009999383
