execution_num;num_execs;size_msg;incremental;time
0;100;100;False;0.00869340999997800061
1;100;100;False;0.008632793000288000243
2;100;100;False;0.010749332000159400602
3;100;100;False;0.008055056000102900002
4;100;100;False;0.00842467400025270069
5;100;100;False;0.00909708300014240058
6;100;100;False;0.008253726000020800493
7;100;100;False;0.008876491000137300136
8;100;100;False;0.008889234999969500631
9;100;100;False;0.009196774999963800573
10;100;100;False;0.0087825599998723000855
11;100;100;False;0.0087116650001916005885
12;100;100;False;0.008618195000053400362
13;100;100;False;0.008690123000178500562
14;100;100;False;0.008651048000047000322
15;100;100;False;0.008994135999728300468
16;100;100;False;0.009009214999878100219
17;100;100;False;0.009096171000237400495
18;100;100;False;0.009217243999955800418
19;100;100;False;0.008619066999926700348
20;100;100;False;0.0089949379998869004316
21;100;100;False;0.008944211000198100739
22;100;100;False;0.008747724000386300491
23;100;100;False;0.008772951999617200833
24;100;100;False;0.008851011000387900424
25;100;100;False;0.009143752999989200603
26;100;100;False;0.0088647679999667005485
27;100;100;False;0.008374247000119700718
28;100;100;False;0.009123593999902200255
29;100;100;False;0.009153852000054000723
30;100;100;False;0.008899544000087000403
31;100;100;False;0.008836914999846800373
32;100;100;False;0.0089215869998040004535
33;100;100;False;0.007922071000393500484
34;100;100;False;0.008172079999894700519
35;100;100;False;0.0091102290002709005595
36;100;100;False;0.008967084000232600563
37;100;100;False;0.008787029000359200537
38;100;100;False;0.00865265100037490055
39;100;100;False;0.008978776999811000428
40;100;100;False;0.0091128439999009006045
41;100;100;False;0.009454999999888800619
42;100;100;False;0.0088778029999048001936
43;100;100;False;0.009016188999794300801
44;100;100;False;0.0082483860001046002686
45;100;100;False;0.008258865999778200115
46;100;100;False;0.008407240999986100721
47;100;100;False;0.008988205000150600865
48;100;100;False;0.008681576000071800081
49;100;100;False;0.008377763999760600572
50;100;100;False;0.009111640999890200862
51;100;100;False;0.008095714000319000417
52;100;100;False;0.009110469000006400642
53;100;100;False;0.012685292999776600839
54;100;100;False;0.013342753999950100752
55;100;100;False;0.012183430000277200439
56;100;100;False;0.00826771299989540083
57;100;100;False;0.009437766000246400333
58;100;100;False;0.0081497769997440003276
59;100;100;False;0.008204380999813900774
60;100;100;False;0.008362322999801000828
61;100;100;False;0.008971109999947600097
62;100;100;False;0.008298412000385500462
63;100;100;False;0.008989616999770000047
64;100;100;False;0.008731471999908500814
65;100;100;False;0.009009115000026100481
66;100;100;False;0.009141418000126400739
67;100;100;False;0.008844709000186400452
68;100;100;False;0.009183587999814300795
69;100;100;False;0.0093555579996972004775
70;100;100;False;0.008338409000316300557
71;100;100;False;0.00908644299988710033
72;100;100;False;0.0082453200002419006764
73;100;100;False;0.009184090999951800838
74;100;100;False;0.008282670999960800584
75;100;100;False;0.008179092000318400474
76;100;100;False;0.008133746000112100291
77;100;100;False;0.007822659999874300579
78;100;100;False;0.009014895999825800477
79;100;100;False;0.008226584000112700107
80;100;100;False;0.009029401999668800263
81;100;100;False;0.0085432099999706006405
82;100;100;False;0.008848637000028100261
83;100;100;False;0.008341454999936100817
84;100;100;False;0.008414303999870500345
85;100;100;False;0.009140577000380000275
86;100;100;False;0.008410906999870300382
87;100;100;False;0.008805373000086500271
88;100;100;False;0.008235469999817600709
89;100;100;False;0.00826535899977890072
90;100;100;False;0.009157850000065000454
91;100;100;False;0.008508493999670300317
92;100;100;False;0.008324561999870600665
93;100;100;False;0.009134715000072700375
94;100;100;False;0.008850488999996700135
95;100;100;False;0.00904486200033700026
96;100;100;False;0.008712787000149300326
97;100;100;False;0.00946741300003840075
98;100;100;False;0.009268943000279200248
99;100;100;False;0.009152418999747100048
0;100;100;True;0.009027147999859000405
1;100;100;True;0.05053415199972730032
2;100;100;True;0.009279681999942000423
3;100;100;True;0.008404995000091600513
4;100;100;True;0.008503533999828500126
5;100;100;True;0.009053348000179300276
6;100;100;True;0.008115900999655400669
7;100;100;True;0.009489876000316100832
8;100;100;True;0.007938289999856200721
9;100;100;True;0.00912655899992360041
10;100;100;True;0.009097483000004900552
11;100;100;True;0.008834018000015800634
12;100;100;True;0.008944460000293400284
13;100;100;True;0.011074864999954900369
14;100;100;True;0.010252508999656000793
15;100;100;True;0.01083267000012710056
16;100;100;True;0.012025807999634600259
17;100;100;True;0.009349175999886900207
18;100;100;True;0.008789983000042300709
19;100;100;True;0.009628362000057500564
20;100;100;True;0.010122959999989600624
21;100;100;True;0.0098123329998998001095
22;100;100;True;0.008883112000148600182
23;100;100;True;0.009376419000091000544
24;100;100;True;0.010096348999923000084
25;100;100;True;0.008816403999844400416
26;100;100;True;0.009012178999910200675
27;100;100;True;0.010664288000043500859
28;100;100;True;0.009018381999794600201
29;100;100;True;0.008826704000057300839
30;100;100;True;0.008648381000057100282
31;100;100;True;0.008380188000046400604
32;100;100;True;0.008750197000153900687
33;100;100;True;0.008796445000371000064
34;100;100;True;0.008890405999863900538
35;100;100;True;0.0089280479996886007166
36;100;100;True;0.009105798999826100401
37;100;100;True;0.009078877000320000057
38;100;100;True;0.0089132699999934002916
39;100;100;True;0.0078955280000627004605
40;100;100;True;0.008889022999937800859
41;100;100;True;0.008735418000014700049
42;100;100;True;0.0090009569998983005035
43;100;100;True;0.008768421999775200329
44;100;100;True;0.008902738999949800364
45;100;100;True;0.009247388999938200432
46;100;100;True;0.0084875930001544006714
47;100;100;True;0.008868653000263000338
48;100;100;True;0.008025266999993500849
49;100;100;True;0.0083061649997943007295
50;100;100;True;0.008599436999702300341
51;100;100;True;0.008286867999686300598
52;100;100;True;0.009022798999921900764
53;100;100;True;0.008593044999997700301
54;100;100;True;0.008905113000309900634
55;100;100;True;0.009025615000154800505
56;100;100;True;0.008927366000079900443
57;100;100;True;0.008442656999704900231
58;100;100;True;0.0088273450000997000925
59;100;100;True;0.008144767000430800166
60;100;100;True;0.009028421000039000069
61;100;100;True;0.009010737000153300549
62;100;100;True;0.010486656000011800038
63;100;100;True;0.010684475000289000296
64;100;100;True;0.008234147000166400568
65;100;100;True;0.00816095600021050048
66;100;100;True;0.008088377999683800043
67;100;100;True;0.00837500799980260037
68;100;100;True;0.009280975000365100647
69;100;100;True;0.008994315000109000605
70;100;100;True;0.008599928999956100301
71;100;100;True;0.008631169000182100162
72;100;100;True;0.008122623999952300472
73;100;100;True;0.0082946339998669002536
74;100;100;True;0.0088279960000363002365
75;100;100;True;0.010990211999796800635
76;100;100;True;0.0089542790001359007235
77;100;100;True;0.009229936999872600731
78;100;100;True;0.0083444789997884002974
79;100;100;True;0.008333868000136100684
80;100;100;True;0.0086763260001134004384
81;100;100;True;0.008800373000212800487
82;100;100;True;0.009248752000075900065
83;100;100;True;0.00860417600006250019
84;100;100;True;0.0092205169999033005646
85;100;100;True;0.008750676000090600037
86;100;100;True;0.008806746000118400794
87;100;100;True;0.008051906999753300279
88;100;100;True;0.0082210119999216006714
89;100;100;True;0.008233194000240400684
90;100;100;True;0.008224257999700000307
91;100;100;True;0.0082025860001522007264
92;100;100;True;0.008888761999969300304
93;100;100;True;0.008996077999654400817
94;100;100;True;0.008988292000139900401
95;100;100;True;0.008684550999987500006
96;100;100;True;0.008918348999941200575
97;100;100;True;0.008063679999850000349
98;100;100;True;0.00892814899998480016
99;100;100;True;0.007987404000232300322
0;100;100100;False;0.060426370999721201738
1;100;100100;False;0.057867816999987400917
2;100;100100;False;0.054821642000206102785
3;100;100100;False;0.055837901999893801985
4;100;100100;False;0.059061230000224701486
5;100;100100;False;0.055649230000199001456
6;100;100100;False;0.056910305999735802396
7;100;100100;False;0.053772891999869801283
8;100;100100;False;0.05971562600007000038
9;100;100100;False;0.056937988999834300563
10;100;100100;False;0.058563667000271102392
11;100;100100;False;0.058027357999890200047
12;100;100100;False;0.057079943000189800606
13;100;100100;False;0.055491546000211902645
14;100;100100;False;0.056257917000039001088
15;100;100100;False;0.0537383659998338023
16;100;100100;False;0.05634160399995370022
17;100;100100;False;0.054577883000092600185
18;100;100100;False;0.057703745000253402198
19;100;100100;False;0.056279033000009602572
20;100;100100;False;0.054579224999997601186
21;100;100100;False;0.055835423000189600418
22;100;100100;False;0.0558045339998897022
23;100;100100;False;0.05459892199996820017
24;100;100100;False;0.054676220999681300616
25;100;100100;False;0.05421872400029310174
26;100;100100;False;0.05728722599997120024
27;100;100100;False;0.05732016999991160211
28;100;100100;False;0.055294857000262702396
29;100;100100;False;0.055449762000080102253
30;100;100100;False;0.054574516000229701673
31;100;100100;False;0.05607299499979490065
32;100;100100;False;0.056595536999793402688
33;100;100100;False;0.06474989900016220323
34;100;100100;False;0.058957636000286500755
35;100;100100;False;0.054556067999783401656
36;100;100100;False;0.05532532099959990013
37;100;100100;False;0.054286230999878101744
38;100;100100;False;0.05510617199979590125
39;100;100100;False;0.053501507000419203097
40;100;100100;False;0.055407268000180802392
41;100;100100;False;0.05677691500022750276
42;100;100100;False;0.058964918999663301635
43;100;100100;False;0.053292806000172200653
44;100;100100;False;0.05746875000022540203
45;100;100100;False;0.053386381999644003105
46;100;100100;False;0.05368806100022990163
47;100;100100;False;0.057467506000193402382
48;100;100100;False;0.056772132999867601366
49;100;100100;False;0.057543331000033400013
50;100;100100;False;0.05744091499991550026
51;100;100100;False;0.057518865000020000244
52;100;100100;False;0.057237444999827802317
53;100;100100;False;0.058898489000057202558
54;100;100100;False;0.056743248000202500814
55;100;100100;False;0.05679517799990180249
56;100;100100;False;0.056921017999684402067
