execution_num;num_execs;size_msg;incremental;time
0;100;100;False;0.0067138050017092002625
1;100;100;False;0.0059267870001349001047
2;100;100;False;0.0066933260004587002284
3;100;100;False;0.0063152220009213000385
4;100;100;False;0.0061605690007127001523
5;100;100;False;0.0060699469995597003097
6;100;100;False;0.0063073860001166002012
7;100;100;False;0.006171238999740900205
8;100;100;False;0.0060342509987092000923
9;100;100;False;0.0059915090005233000506
10;100;100;False;0.0061668910002481000174
11;100;100;False;0.0052766669996342002377
12;100;100;False;0.005368861999158700167
13;100;100;False;0.005782402999102200132
14;100;100;False;0.0055177929989440000977
15;100;100;False;0.0064254200005960000752
16;100;100;False;0.006764390000171200193
17;100;100;False;0.0053939490007904001764
18;100;100;False;0.0060684849995595001315
19;100;100;False;0.0056772349998935002155
20;100;100;False;0.0057533689996489001395
21;100;100;False;0.0061532339987024004327
22;100;100;False;0.0061536349985542001043
23;100;100;False;0.00627985499886560012
24;100;100;False;0.0054037969985073000534
25;100;100;False;0.0061909970008855001733
26;100;100;False;0.006753911000487200153
27;100;100;False;0.0060846550004498003647
28;100;100;False;0.0064669180010241003945
29;100;100;False;0.006953578000320700253
30;100;100;False;0.006661335999524300132
31;100;100;False;0.006705187999614200048
32;100;100;False;0.006995567999183500106
33;100;100;False;0.0064294469993909000166
34;100;100;False;0.0067862609994335000574
35;100;100;False;0.0060542179999174003738
36;100;100;False;0.0075445059992487002384
37;100;100;False;0.007775632999255300236
38;100;100;False;0.0061760280004816000762
39;100;100;False;0.0064175629995588002324
40;100;100;False;0.006704157000058300238
41;100;100;False;0.0068303759999253001872
42;100;100;False;0.006334417001198700166
43;100;100;False;0.007085227000061400035
44;100;100;False;0.00649947900092200017
45;100;100;False;0.006145800998638100039
46;100;100;False;0.0065032160000554001603
47;100;100;False;0.0063783610003155001567
48;100;100;False;0.0058599200001479001543
49;100;100;False;0.0059614820002025000617
50;100;100;False;0.005981239000902600217
51;100;100;False;0.0066477809996283001095
52;100;100;False;0.00591024399909640015
53;100;100;False;0.0068499219996736001106
54;100;100;False;0.0057766330010052000313
55;100;100;False;0.006631688998822900423
56;100;100;False;0.006453373000112900236
57;100;100;False;0.0061703259998466004205
58;100;100;False;0.0064148900000873003077
59;100;100;False;0.0065412570002081000045
60;100;100;False;0.0063037500003701001094
61;100;100;False;0.006652658999882900097
62;100;100;False;0.0055318809991147001315
63;100;100;False;0.0062706770004297002208
64;100;100;False;0.006199090999871000214
65;100;100;False;0.0062388059996010001088
66;100;100;False;0.0067184540002924002244
67;100;100;False;0.005917548000070100081
68;100;100;False;0.006141232999652600222
69;100;100;False;0.006565473999216800069
70;100;100;False;0.005343663999155700249
71;100;100;False;0.006643501999860600138
72;100;100;False;0.006100204000176700364
73;100;100;False;0.007974369000294200677
74;100;100;False;0.0065939380001508000884
75;100;100;False;0.0065197879994229003195
76;100;100;False;0.0068194549985491001443
77;100;100;False;0.005201904999921500017
78;100;100;False;0.006397025999831200231
79;100;100;False;0.0063404900010935001317
80;100;100;False;0.008373271999516800762
81;100;100;False;0.005727390000174400163
82;100;100;False;0.0051367920004850003285
83;100;100;False;0.006246912000278700104
84;100;100;False;0.0057918720012821002865
85;100;100;False;0.0061794550001650003224
86;100;100;False;0.0064520489995627001295
87;100;100;False;0.0062062650013102000843
88;100;100;False;0.0070963779999145002245
89;100;100;False;0.0057714829999893002208
90;100;100;False;0.006488519000413300354
91;100;100;False;0.0062204920013754000027
92;100;100;False;0.0052774700016016001802
93;100;100;False;0.0060554690007847003855
94;100;100;False;0.0057353449992658001727
95;100;100;False;0.007146013000237700155
96;100;100;False;0.006188592000398600128
97;100;100;False;0.0063216119997377001605
98;100;100;False;0.006251419999898500182
99;100;100;False;0.0053735510009573000598
0;100;100;True;0.0062273849998744001608
1;100;100;True;0.0064334550006606002967
2;100;100;True;0.007339006999245500061
3;100;100;True;0.0064321529989681000897
4;100;100;True;0.0059901149998040003827
5;100;100;True;0.0061910260010335001896
6;100;100;True;0.0063849230009508000164
7;100;100;True;0.0060397389988792000645
8;100;100;True;0.0065661560001899002548
9;100;100;True;0.0062778410010649000547
10;100;100;True;0.0058847359996432001272
11;100;100;True;0.0071988619984040000746
12;100;100;True;0.0074563589987519003632
13;100;100;True;0.0055393050006385001136
14;100;100;True;0.007046814000204700175
15;100;100;True;0.0070606600002063001076
16;100;100;True;0.0065436519998910000137
17;100;100;True;0.005611802000202900133
18;100;100;True;0.006206334001035400047
19;100;100;True;0.0075674389991036003153
20;100;100;True;0.0069613319992639002137
21;100;100;True;0.0067595110012915000583
22;100;100;True;0.005237762999968200231
23;100;100;True;0.0060391179995349002566
24;100;100;True;0.006347221999021500187
25;100;100;True;0.005573889999141000244
26;100;100;True;0.0050584939999678002476
27;100;100;True;0.0063312210004369002397
28;100;100;True;0.006353705000947200074
29;100;100;True;0.006639282999458200052
30;100;100;True;0.0061473240002669002346
31;100;100;True;0.0061259329995663001217
32;100;100;True;0.005791210000097400147
33;100;100;True;0.005662096999003400112
34;100;100;True;0.006144106999272300196
35;100;100;True;0.0052868860002489000485
36;100;100;True;0.005987131000438200394
37;100;100;True;0.005625355999654800196
38;100;100;True;0.0054427320010290002744
39;100;100;True;0.0062627820007036000965
40;100;100;True;0.0061302810008781001214
41;100;100;True;0.0062711379996470001386
42;100;100;True;0.0062145619995135001346
43;100;100;True;0.0054791500006103003445
44;100;100;True;0.006764540999938600113
45;100;100;True;0.00634318300035370021
46;100;100;True;0.005856874000528400001
47;100;100;True;0.005532121000214600126
48;100;100;True;0.006155790000775400103
49;100;100;True;0.0065926360002777004143
50;100;100;True;0.0057791079998421000796
51;100;100;True;0.00562611900022600038
52;100;100;True;0.0057543099992470002346
53;100;100;True;0.0051077080006506000998
54;100;100;True;0.0061301509995246002485
55;100;100;True;0.0061397900008159003032
56;100;100;True;0.0055942779999894002435
57;100;100;True;0.0056171109990827000624
58;100;100;True;0.005273450000458900118
59;100;100;True;0.0059743060010077004077
60;100;100;True;0.00632561100064760011
61;100;100;True;0.005482566000864600407
62;100;100;True;0.006262611999773000024
63;100;100;True;0.0059672630013665002233
64;100;100;True;0.0069012380008641001014
65;100;100;True;0.00627645799977450021
66;100;100;True;0.005399169000156600097
67;100;100;True;0.005580451999776300104
68;100;100;True;0.005272258000331700098
69;100;100;True;0.005412553999121600193
70;100;100;True;0.006225200999324400318
71;100;100;True;0.0061612509998666001657
72;100;100;True;0.006886541999847200189
73;100;100;True;0.0066943980000358001975
74;100;100;True;0.0065681900014169002436
75;100;100;True;0.005650162998790500199
76;100;100;True;0.006118379000326900144
77;100;100;True;0.0062918580006225003146
78;100;100;True;0.0060008370001013002296
79;100;100;True;0.0060750060001735000856
80;100;100;True;0.005932577998464400211
81;100;100;True;0.006219229999260200356
82;100;100;True;0.006327735000013400002
83;100;100;True;0.0061065059999234000757
84;100;100;True;0.0064887090011324002198
85;100;100;True;0.005692202001227900099
86;100;100;True;0.0064027370008260002174
87;100;100;True;0.006107989000156500113
88;100;100;True;0.009570615999109400446
89;100;100;True;0.0053763360010634000247
90;100;100;True;0.0047746089985592002347
91;100;100;True;0.006182039000122900238
92;100;100;True;0.0060362029998940001235
93;100;100;True;0.006093800999224100075
94;100;100;True;0.005343853999875100222
95;100;100;True;0.005213837999690200224
96;100;100;True;0.0052397889994608001438
97;100;100;True;0.006005274999551900132
98;100;100;True;0.005413906999819900062
99;100;100;True;0.0059970379988953000094
0;100;100100;False;0.054722701001082701966
1;100;100100;False;0.05121485000017850231
2;100;100100;False;0.05501348100005980235
3;100;100100;False;0.053497935999985202216
4;100;100100;False;0.055339208000077501348
5;100;100100;False;0.053630446000170001186
6;100;100100;False;0.052068633000089903362
7;100;100100;False;0.05391815000075420028
8;100;100100;False;0.05189496499951910119
9;100;100100;False;0.056240633000925202567
10;100;100100;False;0.055820998000854001042
11;100;100100;False;0.052242591000322101402
12;100;100100;False;0.054872324999450702854
13;100;100100;False;0.052261397000620400666
14;100;100100;False;0.05355603600037280032
15;100;100100;False;0.05441247499948070193
16;100;100100;False;0.05403658399882260016
17;100;100100;False;0.053865018999203900796
18;100;100100;False;0.053956342999299501673
19;100;100100;False;0.056758951999654402854
20;100;100100;False;0.051263721999930400575
21;100;100100;False;0.054142373999638900017
22;100;100100;False;0.057790200999079201216
23;100;100100;False;0.054368581999369600122
24;100;100100;False;0.05506113100091170054
25;100;100100;False;0.048983650000081903342
26;100;100100;False;0.049115949999759302147
27;100;100100;False;0.055472348998591700098
28;100;100100;False;0.051996636999319702233
29;100;100100;False;0.055266229001062802673
30;100;100100;False;0.055080487998566102226
31;100;100100;False;0.053987833000064600064
32;100;100100;False;0.052378619000591902788
33;100;100100;False;0.056130963999748900717
34;100;100100;False;0.055579582000063902647
35;100;100100;False;0.05250123199948560082
36;100;100100;False;0.055570274000274200166
37;100;100100;False;0.049950598000577800528
38;100;100100;False;0.050177187000372200365
39;100;100100;False;0.052859277000607100827
40;100;100100;False;0.052727889000379800366
41;100;100100;False;0.049706235999110302826
42;100;100100;False;0.05188193899994070213
43;100;100100;False;0.050883030000477301458
44;100;100100;False;0.052083741000387602516
45;100;100100;False;0.053521600999374502328
46;100;100100;False;0.053878775999691902454
47;100;100100;False;0.05026443099995950292
48;100;100100;False;0.052460783999777001185
49;100;100100;False;0.054908301000978002038
50;100;100100;False;0.054123256999446200943
51;100;100100;False;0.053765159998874802183
52;100;100100;False;0.050567484999191801565
53;100;100100;False;0.051873984999474202773
54;100;100100;False;0.052906696999343402754
55;100;100100;False;0.052597742000216302083
56;100;100100;False;0.04997546499907910139
57;100;100100;False;0.051634220999403603047
58;100;100100;False;0.0554206599990720028
59;100;100100;False;0.054083892999187803408
60;100;100100;False;0.055087761998947701314
61;100;100100;False;0.050247688999661400955
62;100;100100;False;0.04944823799996810043
63;100;100100;False;0.048416686999189502416
64;100;100100;False;0.054598536999037501627
65;100;100100;False;0.0517831320012192009
66;100;100100;False;0.05870216400035130344
67;100;100100;False;0.052369631999681302836
68;100;100100;False;0.063331829000162501164
69;100;100100;False;0.057851134999509501444
70;100;100100;False;0.056147965000491101284
71;100;100100;False;0.053780639998876701713
72;100;100100;False;0.052227772999685700972
73;100;100100;False;0.053982630999598602006
74;100;100100;False;0.053474239999559303183
75;100;100100;False;0.051645191000716100804
76;100;100100;False;0.05306441500033540204
77;100;100100;False;0.054990276999888003384
78;100;100100;False;0.053690378999817600647
79;100;100100;False;0.053133254999920602468
80;100;100100;False;0.0627686339994397019
81;100;100100;False;0.056000997999944901462
82;100;100100;False;0.057835094999972802565
83;100;100100;False;0.055772885998521801176
84;100;100100;False;0.054977902000245902625
85;100;100100;False;0.05432541899972410243
86;100;100100;False;0.061230003999298600326
87;100;100100;False;0.04992932599998300275
88;100;100100;False;0.053208277000521601863
89;100;100100;False;0.053200643000309300046
90;100;100100;False;0.057181689999197100882
91;100;100100;False;0.056722872001046101276
92;100;100100;False;0.051799150998704100723
93;100;100100;False;0.05558854800074160274
94;100;100100;False;0.054051250999691401178
95;100;100100;False;0.05539550200046500228
96;100;100100;False;0.055365125999742102747
97;100;100100;False;0.055343194000670302424
98;100;100100;False;0.052286464000644600203
99;100;100100;False;0.05495485899882610048
0;100;100100;True;0.032640887999150401677
1;100;100100;True;0.03521129799992180065
2;100;100100;True;0.02927331099999690156
3;100;100100;True;0.03276394100066670062
4;100;100100;True;0.030290324000816201688
5;100;100100;True;0.037069971998789502665
6;100;100100;True;0.028923777999807401273
7;100;100100;True;0.03494712799874830078
8;100;100100;True;0.027702037999915701122
9;100;100100;True;0.034933732000354100755
10;100;100100;True;0.029092517999742901341
11;100;100100;True;0.030892662000041801185
12;100;100100;True;0.03384943300079600037
13;100;100100;True;0.03172142000039430282
14;100;100100;True;0.038596168000367400697
15;100;100100;True;0.032186207999984603467
16;100;100100;True;0.02885227399929130021
17;100;100100;True;0.036888338998323701168
18;100;100100;True;0.030501282999466600848
19;100;100100;True;0.038080141999671301978
20;100;100100;True;0.034309622998989500187
21;100;100100;True;0.029733739998846400038
22;100;100100;True;0.034781295000357100033
23;100;100100;True;0.029205901999375401268
24;100;100100;True;0.037210436999885000697
25;100;100100;True;0.029873436000343301516
26;100;100100;True;0.036267153998778500767
27;100;100100;True;0.03745603100105650285
28;100;100100;True;0.03096100000038850067
29;100;100100;True;0.035261574001196900607
30;100;100100;True;0.030059275999519401157
31;100;100100;True;0.0346306299998103001
32;100;100100;True;0.029535936000684100827
33;100;100100;True;0.036220366000634302006
34;100;100100;True;0.03440089499963500108
35;100;100100;True;0.028590167999936900306
36;100;100100;True;0.033568512000783701232
37;100;100100;True;0.029748659000688300325
38;100;100100;True;0.035333939998963601048
39;100;100100;True;0.030496412999127600618
40;100;100100;True;0.035927581000578301396
41;100;100100;True;0.028763146001437901733
42;100;100100;True;0.033026917999450101926
43;100;100100;True;0.03609868599960450175
44;100;100100;True;0.03291201100000760299
45;100;100100;True;0.03475089700077640259
46;100;100100;True;0.029622109001138201279
47;100;100100;True;0.03543645300123880043
48;100;100100;True;0.030110392001006101165
49;100;100100;True;0.03186565199939640075
50;100;100100;True;0.03329480399952430142
51;100;100100;True;0.030325308000101001277
52;100;100100;True;0.033725037999829503288
53;100;100100;True;0.030768547998377301228
54;100;100100;True;0.033384764001311802162
55;100;100100;True;0.029929320000519201578
56;100;100100;True;0.035180808999939403026
57;100;100100;True;0.02843261100133500155
58;100;100100;True;0.033436911999160601194
59;100;100100;True;0.033735266000803600106
60;100;100100;True;0.029792610999720501447
61;100;100100;True;0.03358409199972810233
62;100;100100;True;0.029168191000280601494
63;100;100100;True;0.033196375999978003368
64;100;100100;True;0.032398717999967602266
65;100;100100;True;0.036688268999569000062
66;100;100100;True;0.034554544999991700094
67;100;100100;True;0.027899962999071801356
68;100;100100;True;0.03529506499944540243
69;100;100100;True;0.030630715998995500238
70;100;100100;True;0.031140281000261501448
71;100;100100;True;0.03691249399889780236
72;100;100100;True;0.029556454999692401142
73;100;100100;True;0.03548309100006000194
74;100;100100;True;0.036059108999324900047
75;100;100100;True;0.030565995000870101184
76;100;100100;True;0.038376451000658402812
77;100;100100;True;0.030127935000564300128
78;100;100100;True;0.039677872000538502717
79;100;100100;True;0.033850124000309601835
80;100;100100;True;0.035023521000766701106
81;100;100100;True;0.036796444999708702306
82;100;100100;True;0.036937779999789102647
83;100;100100;True;0.029888672999732000118
84;100;100100;True;0.034914957999717402548
85;100;100100;True;0.03534647299966300199
86;100;100100;True;0.028961931000594600544
87;100;100100;True;0.035481749000609602573
88;100;100100;True;0.032730275999710900514
89;100;100100;True;0.03694609700141870262
90;100;100100;True;0.032073233000119202862
91;100;100100;True;0.03447010600029890015
92;100;100100;True;0.031979215000319402562
93;100;100100;True;0.03131332600059970328
94;100;100100;True;0.03540159700060020037
95;100;100100;True;0.031051681000462801052
96;100;100100;True;0.036819138000282601586
97;100;100100;True;0.027674766999552801588
98;100;100100;True;0.037972878999426001867
99;100;100100;True;0.029942003000541901614
0;100;200100;False;0.11739814399879830442
1;100;200100;False;0.12879168700055740326
2;100;200100;False;0.12270418700063590034
3;100;200100;False;0.12517816400031731017
4;100;200100;False;0.12114693100011170168
5;100;200100;False;0.12019857000086620058
6;100;200100;False;0.124008582999522304346
7;100;200100;False;0.12556538599892511088
8;100;200100;False;0.11984935799955540037
9;100;200100;False;0.115486418999352802306
10;100;200100;False;0.13032743000076141282
11;100;200100;False;0.122179685000446500154
12;100;200100;False;0.11551476299973720274
13;100;200100;False;0.12000368000008160285
14;100;200100;False;0.12970125599895240831
15;100;200100;False;0.1189247000002068011
16;100;200100;False;0.11570714699882950205
17;100;200100;False;0.1450469610008439103
18;100;200100;False;0.11812757299958290269
19;100;200100;False;0.12645018799958041011
20;100;200100;False;0.12168463800117020057
21;100;200100;False;0.11513259999992420113
22;100;200100;False;0.12274596400129660079
23;100;200100;False;0.12137295899992750492
24;100;200100;False;0.12003773300057210549
25;100;200100;False;0.120992469999691806826
26;100;200100;False;0.12646040700019500758
27;100;200100;False;0.12270880500000200253
28;100;200100;False;0.1205280909998689004
29;100;200100;False;0.12037831699853990264
30;100;200100;False;0.12539652600025860685
31;100;200100;False;0.11743460100115030165
32;100;200100;False;0.1159708330014836003
33;100;200100;False;0.121103590001439401225
34;100;200100;False;0.123902461000398006474
35;100;200100;False;0.13392492100138020383
36;100;200100;False;0.12184685299871460262
37;100;200100;False;0.12218855999890360087
38;100;200100;False;0.115945334000570901556
39;100;200100;False;0.11673627100026350012
40;100;200100;False;0.11394215700056520291
