execution_num;num_execs;size_msg;incremental;time
0;100;100;False;0.119471272000737302466
1;100;100;False;0.10807405100058530001
2;100;100;False;0.10773711500041820155
3;100;100;False;0.10767183200005080168
4;100;100;False;0.107725893998576502386
5;100;100;False;0.10753957300039460043
6;100;100;False;0.10689964400080480267
7;100;100;False;0.10731784400013540115
8;100;100;False;0.10726592600076390038
9;100;100;False;0.107383276999825902354
10;100;100;False;0.107504726000115402584
11;100;100;False;0.10708097600036120545
12;100;100;False;0.1075330000003305031
13;100;100;False;0.107048255000336101084
14;100;100;False;0.107256377999874502605
15;100;100;False;0.10827444999995350372
16;100;100;False;0.10809679500016500242
17;100;100;False;0.10838997800055930054
18;100;100;False;0.10820778400011470122
19;100;100;False;0.1082488419997389012
20;100;100;False;0.10825047400066960257
21;100;100;False;0.1084706699984963052
22;100;100;False;0.10795786200105790542
23;100;100;False;0.10818037299941320184
24;100;100;False;0.108077326998681902404
25;100;100;False;0.11028584799896630486
26;100;100;False;0.10926081199977480396
27;100;100;False;0.10860838899861820217
28;100;100;False;0.10938366399932410167
29;100;100;False;0.10919613999976710006
30;100;100;False;0.10856613099895150165
31;100;100;False;0.10883708100118380524
32;100;100;False;0.10910288400009410248
33;100;100;False;0.10896782900090300206
34;100;100;False;0.10892587999842340274
35;100;100;False;0.10954066999875060329
36;100;100;False;0.10954702299932220222
37;100;100;False;0.10938764099955730624
38;100;100;False;0.10936060099993480388
39;100;100;False;0.11001154900077370069
40;100;100;False;0.10960460100068300515
41;100;100;False;0.11149144299997700014
42;100;100;False;0.11172461400019520483
43;100;100;False;0.111674269001014001
44;100;100;False;0.1112999429988121014
45;100;100;False;0.11301459000060250226
46;100;100;False;0.11165468199942550631
47;100;100;False;0.111426831999778902516
48;100;100;False;0.112624142999265902665
49;100;100;False;0.112271047000831403206
50;100;100;False;0.11205116000019180178
51;100;100;False;0.11231976800081600043
52;100;100;False;0.11323634799919080063
53;100;100;False;0.11462828699950450284
54;100;100;False;0.11196150100113300141
55;100;100;False;0.11340584899880920555
56;100;100;False;0.112448199999562306606
57;100;100;False;0.11321230300018210457
58;100;100;False;0.11355362799986300215
59;100;100;False;0.112319797999589202075
60;100;100;False;0.11305825199997310282
61;100;100;False;0.11273340799925790634
62;100;100;False;0.112207726000633500885
63;100;100;False;0.113707858999987102
64;100;100;False;0.114605954000580601004
65;100;100;False;0.1140646739986549002
66;100;100;False;0.11458971299907690089
67;100;100;False;0.113772830998641300004
68;100;100;False;0.11475452500053490157
69;100;100;False;0.112682531998871002243
70;100;100;False;0.11368524499994230037
71;100;100;False;0.11296252099964460003
72;100;100;False;0.113371925001047202386
73;100;100;False;0.112845880999884601303
74;100;100;False;0.11390165400007390417
75;100;100;False;0.11322753199965510107
76;100;100;False;0.11253999299879050011
77;100;100;False;0.112858274000245700774
78;100;100;False;0.1144449399998846012
79;100;100;False;0.112740010999914305745
80;100;100;False;0.11277942500055360142
81;100;100;False;0.112102717001107202166
82;100;100;False;0.11238503099957590503
83;100;100;False;0.11280962199998610662
84;100;100;False;0.112501460998828406446
85;100;100;False;0.11301889700007450301
86;100;100;False;0.1123466389999521059
